game_id,skill_level,estimated_rating,rating_bucket,cheat_pct,is_cheat,suspect_color,n_moves,result,acpl,acpl_opening,acpl_middlegame,acpl_endgame,top1_match_rate,top3_match_rate,cp_loss_std,cp_loss_median,only_move_match_rate,blunder_rate,mistake_rate
5479,9,1900,1800-2000,0,0,white,57,1/2-1/2,16.649122807017545,14.3,25.428571428571427,4.947368421052632,0.543859649122807,0.7894736842105263,33.78543817332943,2.0,1.0,0.017543859649122806,0.03508771929824561
5478,9,1900,1800-2000,0,0,white,40,1-0,9.35,9.4,11.666666666666666,0.0,0.65,0.975,22.39480966652765,0.0,1.0,0.0,0.025
5484,9,1900,1800-2000,0,0,black,38,1-0,45.1578947368421,7.6,71.30434782608695,0.0,0.3157894736842105,0.7368421052631579,83.75764735416527,7.5,0.75,0.07894736842105263,0.18421052631578946
5483,9,1900,1800-2000,0,0,black,73,1/2-1/2,17.301369863013697,12.8,29.24,10.631578947368421,0.3150684931506849,0.7397260273972602,30.280734384023848,4.0,1.0,0.0,0.0410958904109589
5472,9,1900,1800-2000,0,0,white,100,*,41.78,15.6,13.35,53.642857142857146,0.46,0.85,151.16180602255326,1.5,0.8333333333333334,0.06,0.06
5489,9,1900,1800-2000,0,0,white,84,1-0,16.11904761904762,12.1,34.9375,11.620689655172415,0.30952380952380953,0.6785714285714286,32.293447942970545,0.0,1.0,0.0,0.047619047619047616
5482,9,1900,1800-2000,0,0,white,92,1-0,13.445652173913043,7.5,25.76923076923077,11.985507246376812,0.43478260869565216,0.8478260869565217,26.950181144198343,3.5,1.0,0.0,0.021739130434782608
5481,9,1900,1800-2000,0,0,white,81,0-1,34.0,10.2,33.303030303030305,40.86842105263158,0.41975308641975306,0.8271604938271605,60.48017734639881,11.0,1.0,0.024691358024691357,0.08641975308641975
5480,9,1900,1800-2000,0,0,black,85,1/2-1/2,20.305882352941175,27.0,18.57894736842105,19.696428571428573,0.49411764705882355,0.788235294117647,39.50875510698617,5.0,1.0,0.023529411764705882,0.03529411764705882
5486,9,1900,1800-2000,0,0,black,80,0-1,16.0125,9.8,11.272727272727273,19.479166666666668,0.5625,0.85,27.347071941068936,2.5,1.0,0.0,0.0125
5491,9,1900,1800-2000,0,0,black,66,1/2-1/2,14.636363636363637,10.8,16.5,15.125,0.5303030303030303,0.7878787878787878,34.80144387619241,2.0,0.8333333333333334,0.015151515151515152,0.030303030303030304
5490,9,1900,1800-2000,0,0,white,78,1/2-1/2,10.115384615384615,7.2,13.833333333333334,9.36,0.5256410256410257,0.8589743589743589,19.716569089142858,0.0,1.0,0.0,0.0
5485,9,1900,1800-2000,0,0,white,72,1-0,32.72222222222222,16.5,22.0,47.06060606060606,0.5555555555555556,0.8611111111111112,120.2665121744922,0.0,0.8181818181818182,0.013888888888888888,0.06944444444444445
5493,9,1900,1800-2000,0,0,white,44,1/2-1/2,13.363636363636363,13.4,12.25,14.333333333333334,0.6590909090909091,0.8863636363636364,24.449475648858662,0.0,1.0,0.0,0.0
5488,9,1900,1800-2000,0,0,black,87,1/2-1/2,10.275862068965518,16.5,15.666666666666666,7.576271186440678,0.3563218390804598,0.7011494252873564,17.116698612269655,4.0,1.0,0.0,0.0
5499,9,1900,1800-2000,0,0,black,61,1/2-1/2,62.278688524590166,13.4,82.29411764705883,66.6470588235294,0.3442622950819672,0.6557377049180327,215.35172382792078,0.0,0.75,0.04918032786885246,0.06557377049180328
5501,9,1900,1800-2000,0,0,white,26,1-0,10.038461538461538,8.0,11.3125,0.0,0.7307692307692307,0.8846153846153846,32.99356670302534,0.0,1.0,0.0,0.038461538461538464
5492,9,1900,1800-2000,0,0,black,75,1/2-1/2,13.093333333333334,18.1,17.695652173913043,9.380952380952381,0.49333333333333335,0.9066666666666666,29.834286018308227,3.0,1.0,0.013333333333333334,0.013333333333333334
5497,9,1900,1800-2000,0,0,black,49,1-0,61.53061224489796,21.1,50.56,110.0,0.5306122448979592,0.7346938775510204,159.07873830671969,9.0,0.9,0.08163265306122448,0.10204081632653061
5495,9,1900,1800-2000,0,0,white,90,1/2-1/2,17.511111111111113,13.8,25.03030303030303,13.02127659574468,0.3333333333333333,0.6555555555555556,32.0878116162662,1.0,1.0,0.0,0.03333333333333333
5498,9,1900,1800-2000,0,0,black,41,0-1,17.585365853658537,12.8,19.416666666666668,18.142857142857142,0.5121951219512195,0.8292682926829268,27.748852412883757,8.0,1.0,0.0,0.024390243902439025
5494,9,1900,1800-2000,0,0,white,100,*,12.61,19.2,14.416666666666666,11.487179487179487,0.37,0.7,24.75717875687777,0.0,1.0,0.0,0.02
5487,9,1900,1800-2000,0,0,white,100,*,154.49,27.1,23.541666666666668,221.4090909090909,0.45,0.79,323.7902251458496,14.0,0.5,0.15,0.21
5496,9,1900,1800-2000,0,0,black,60,1/2-1/2,16.55,15.1,11.75,18.44736842105263,0.5333333333333333,0.8833333333333333,30.932951685864044,4.0,1.0,0.0,0.016666666666666666
5509,9,1900,1800-2000,0,0,white,49,1-0,15.408163265306122,10.7,12.9375,19.17391304347826,0.5102040816326531,0.8367346938775511,23.212345736387554,4.0,1.0,0.0,0.02040816326530612
5508,9,1900,1800-2000,0,0,white,47,1-0,37.02127659574468,15.4,19.8,58.59090909090909,0.46808510638297873,0.8085106382978723,144.15911560194957,5.0,0.5,0.02127659574468085,0.0425531914893617
5506,9,1900,1800-2000,0,0,black,49,1-0,54.38775510204081,14.5,37.72727272727273,99.41176470588235,0.3877551020408163,0.7142857142857143,147.7334632931655,10.0,1.0,0.04081632653061224,0.12244897959183673
5502,9,1900,1800-2000,0,0,black,72,1/2-1/2,11.833333333333334,20.3,16.63157894736842,7.744186046511628,0.5138888888888888,0.8472222222222222,22.38861317723812,4.0,1.0,0.0,0.027777777777777776
5503,9,1900,1800-2000,0,0,white,94,0-1,59.765957446808514,13.4,11.307692307692308,75.16901408450704,0.5638297872340425,0.9042553191489362,204.663263941192,4.0,0.7142857142857143,0.05319148936170213,0.0851063829787234
5504,9,1900,1800-2000,0,0,white,54,1/2-1/2,22.314814814814813,11.2,32.0,17.681818181818183,0.5555555555555556,0.7777777777777778,36.759389868225846,8.5,1.0,0.0,0.037037037037037035
5507,9,1900,1800-2000,0,0,black,79,1/2-1/2,6.620253164556962,11.1,11.642857142857142,4.527272727272727,0.4810126582278481,0.8354430379746836,12.018239089899302,0.0,1.0,0.0,0.0
5511,9,1900,1800-2000,0,0,black,71,1-0,39.29577464788732,24.4,67.93333333333334,33.19565217391305,0.5915492957746479,0.8169014084507042,132.25726044302007,3.0,0.9285714285714286,0.028169014084507043,0.07042253521126761
5500,9,1900,1800-2000,0,0,black,81,1-0,54.51851851851852,12.7,19.83783783783784,104.55882352941177,0.4567901234567901,0.7777777777777778,127.63055394003341,7.0,0.9,0.06172839506172839,0.13580246913580246
5505,9,1900,1800-2000,0,0,white,100,*,26.8,2.8,20.975,36.26,0.51,0.88,107.06166447426455,0.0,0.8181818181818182,0.02,0.05
5513,9,1900,1800-2000,0,0,black,71,0-1,21.704225352112676,17.1,21.551724137931036,23.28125,0.49295774647887325,0.8169014084507042,33.20630958463929,5.0,1.0,0.0,0.056338028169014086
5512,9,1900,1800-2000,0,0,black,100,*,31.99,12.1,40.857142857142854,32.973684210526315,0.32,0.75,104.71031420065549,6.5,0.875,0.01,0.07
5510,9,1900,1800-2000,0,0,black,100,*,17.13,8.6,20.066666666666666,17.68,0.43,0.8,36.57640086175785,3.0,1.0,0.01,0.03
5517,9,1900,1800-2000,0,0,white,67,0-1,33.46268656716418,16.9,37.111111111111114,36.02564102564103,0.2835820895522388,0.7014925373134329,50.8372669621936,19.0,1.0,0.029850746268656716,0.07462686567164178
5516,9,1900,1800-2000,0,0,black,55,0-1,18.381818181818183,15.7,16.875,20.137931034482758,0.45454545454545453,0.8363636363636363,36.765344803393276,0.0,1.0,0.0,0.07272727272727272
5515,9,1900,1800-2000,0,0,black,100,*,14.58,9.4,31.3,7.083333333333333,0.43,0.74,34.40731898884309,3.5,1.0,0.01,0.02
5514,9,1900,1800-2000,0,0,black,78,1/2-1/2,24.23076923076923,13.3,23.823529411764707,26.50980392156863,0.46153846153846156,0.8333333333333334,39.946413810645886,7.5,1.0,0.01282051282051282,0.0641025641025641
5518,9,1900,1800-2000,0,0,black,57,1-0,52.63157894736842,21.7,20.363636363636363,71.08333333333333,0.2982456140350877,0.7543859649122807,143.86258448010867,18.0,0.6,0.03508771929824561,0.07017543859649122
5521,9,1900,1800-2000,0,0,white,41,0-1,47.78048780487805,23.0,9.625,105.0,0.43902439024390244,0.7073170731707317,154.1961867541417,10.0,1.0,0.024390243902439025,0.07317073170731707
5519,9,1900,1800-2000,0,0,white,54,1/2-1/2,16.555555555555557,9.1,20.394736842105264,4.666666666666667,0.4444444444444444,0.8518518518518519,20.980296458967704,9.0,1.0,0.0,0.018518518518518517
5526,9,1900,1800-2000,0,0,black,33,0-1,11.030303030303031,8.3,10.555555555555555,13.285714285714286,0.45454545454545453,0.8484848484848485,21.456770985409104,0.0,1.0,0.0,0.0
5527,9,1900,1800-2000,0,0,white,55,1-0,10.363636363636363,4.7,15.6,11.125,0.5454545454545454,0.8727272727272727,13.961458163443629,4.0,1.0,0.0,0.0
5525,9,1900,1800-2000,0,0,black,95,0-1,12.642105263157895,10.9,14.636363636363637,12.58108108108108,0.42105263157894735,0.8,26.278634823739335,1.0,1.0,0.0,0.031578947368421054
5529,9,1900,1800-2000,0,0,black,100,*,4.63,8.7,3.6923076923076925,4.259740259740259,0.29,0.6,18.601427364586847,0.0,1.0,0.0,0.01
5530,9,1900,1800-2000,0,0,black,65,1-0,60.61538461538461,7.0,25.555555555555557,92.16216216216216,0.4153846153846154,0.8,171.68985385618964,17.0,0.75,0.03076923076923077,0.12307692307692308
5534,9,1900,1800-2000,0,0,black,37,1/2-1/2,90.56756756756756,16.1,118.14814814814815,0.0,0.4864864864864865,0.7027027027027027,227.00095731915542,9.0,1.0,0.10810810810810811,0.16216216216216217
